Categoria,Marca,Modelo,Versão,Motor,"Tipo de
Propulsão","Manual (M)
Automática (A)
Automática Dupla Embreagem (DCT)
Automatizada (MTA)
Contínua
(CVT)",Ar Cond.,"Hidráulica (H)
Mecânica (M)
Elétrica (E)
Eletro- hidráulica (E-H)","Elétrico Puro (E)
Gasolina (G)
Flex (F)
Diesel (D)","NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)",Redução Relativa ao  Limite,"CO2
fóssil (g/km)","CO2
fóssil (g/km)","CO2e
fóssil (g/km)",Cidade (km/l),Estrada (km/l),Cidade (km/l),Estrada (km/l),Cidade (km/l e),Estrada (km/l e),Consumo Energético (MJ/km),"Autonomia no modo Elétrico (km)
Norma SAE J1634","Comparação Relativa
na Categoria",Comparação Absoluta Geral,"Selo CONPET
de Eficiência Energética"
Compacto,PEUGEOT,E-208,GT,ELÉTRICO,Elétrico,A-1,S,E,E,0,0,0,A,\,\,\,\,\,\,\,37.8,30.8,0.59,220,A,A,-
Compacto,PEUGEOT,208,ACTIVE AT1,1.6-16V,Combustão,A-6,S,E,F,31,497,2,B,0,112,\,7.7,9.1,11.1,12.9,\,\,1.82,\,E,C,-
Compacto,PEUGEOT,208,ALLURE AT,1.6-16V,Combustão,A-6,S,E,F,31,497,2,B,0,112,\,7.7,9.1,11.1,12.9,\,\,1.82,\,E,C,-
Compacto,PEUGEOT,208,GRIFFE AT,1.6-16V,Combustão,A-6,S,E,F,31,497,2,B,0,112,\,7.7,9.1,11.1,12.9,\,\,1.82,\,E,C,-
Compacto,PEUGEOT,208,ROADTRIP A,1.6-16V,Combustão,A-6,S,E,F,31,497,2,B,0,112,\,7.7,9.1,11.1,12.9,\,\,1.82,\,E,C,-
Compacto,PEUGEOT,208,LIKE MT,1.0-6V,Combustão,M-5,S,E,F,35,287,2,B,0,85,\,10.4,11.3,14.7,16.3,\,\,1.37,\,A,B,SIM
Compacto,PEUGEOT,208,STYLE MT,1.0-6V,Combustão,M-5,S,E,F,39,385,4,B,0,91,\,9.6,11.0,13.6,15.5,\,\,1.47,\,A,B,SIM
Compacto,Renault,Sandero,SEDTION BS,1.0-12V,Combustão,M-5,S,E-H,F,57,133,3,B,0,93,\,10.0,10.2,13.9,14.7,\,\,1.48,\,A,B,SIM
Compacto,Renault,Sandero,SEDITION,1.0-12V,Combustão,M-5,S,E-H,F,57,133,3,B,0,93,\,10.0,10.2,13.9,14.7,\,\,1.48,\,A,B,SIM
Compacto,Renault,Sandero,LIFE10MT,1.0-12V,Combustão,M-5,S,E-H,F,57,133,3,B,0,93,\,10.0,10.2,13.9,14.7,\,\,1.48,\,A,B,SIM
